,Pixels_Areas,Length_of_Conveyer,Steel_Type_A300,Steel_Type_A400,Steel_Plate_Thickness,Empty_Index,Square_Index,Outside_Global_Index,Orientation_Index,Luminosity_Index,Pastry,Z_Scratch,K_Scratch,Stains,Dirtiness,Bumps,Other_Faults,X_Range,Y_Range,Defect_Area,Edge,Outside_X_Range,Log_Area,Luminosity_Sum_Range,Log_Area_Sigmoid
40,386,1687,0,1,200,0.2852,0.1852,1.0,0.8148,-0.095,1,0,0,0,0,0,0,10,54,1890,2.178508925446272,0.059,1.4930723314059504,1877904,1.2391007278337982
41,324,1353,0,1,70,0.25,0.3333,1.0,0.6667,-0.2701,1,0,0,0,0,0,0,12,36,1080,0.303,0.1068,1.49479629176204,1785871,1.0518881505129476
42,234,1627,0,1,40,0.25,0.4615,1.0,0.5385,-0.2252,1,0,0,0,0,0,0,12,26,520,0.14333333333333334,0.0888,1.5514688596258588,1346006,0.8008682253388683
43,340,1627,0,1,40,0.32,0.2,1.0,0.8,-0.2037,1,0,0,0,0,0,0,10,50,1500,0.13651365136513652,0.061000000000000006,1.4899932372023323,970340,1.17545566482892
44,98,1690,1,0,60,0.4167,0.381,1.0,0.6191,-0.1403,1,0,0,0,0,0,0,8,21,336,1.065,0.0376,1.6675602138557204,388224,0.4837592180395445
45,267,1690,1,0,60,0.3946,0.1837,1.0,0.8163,-0.3333,1,0,0,0,0,0,0,9,49,2107,0.3167701863354037,0.0477,1.5045357676608377,979755,1.0773980632219258
46,56,1686,1,0,60,0.3846,0.5385,1.0,0.4615,-0.2206,1,0,0,0,0,0,0,7,13,156,0.374249957140408,0.028700000000000003,1.8571045280132512,173197,0.3649210397546039
47,71,1682,1,0,60,0.3039,0.3529,1.0,0.6471,-0.1745,1,0,0,0,0,0,0,6,17,187,1.5652731939860653,0.0216,1.9333189289081045,247566,0.4027103328915582
48,90,1688,1,0,60,0.375,1.0,0.5,0.0,-0.3468,1,0,0,0,0,0,0,12,12,168,0.1935596779838992,0.0852,1.6778949337258122,248325,0.43340026138137727
49,55,1690,1,0,60,0.2857,0.6364,1.0,0.3636,-0.1301,1,0,0,0,0,0,0,7,11,99,1.1868089483157624,0.028700000000000003,1.9775292051998334,183720,0.36030582118740967
50,58,1690,1,0,60,0.3626,0.5385,1.0,0.4615,-0.1154,1,0,0,0,0,0,0,7,13,117,0.8261763949601438,0.028700000000000003,1.8732514155694815,210144,0.3680939031594031
51,567,1690,1,0,60,0.219,0.1667,1.0,0.8333,-0.3611,1,0,0,0,0,0,0,11,66,3102,0.06581196581196581,0.0715,1.4532187428275165,2689170,1.3718384932291756
52,182,1688,1,0,60,0.251,0.3333,1.0,0.6667,-0.2987,1,0,0,0,0,0,0,9,27,540,0.028888888888888888,0.0477,1.6547291296053028,604469,0.6660284746661345
53,154,1650,1,0,69,0.3583,0.4167,1.0,0.5833,-0.3061,1,0,0,0,0,0,0,10,24,480,0.1236,0.061000000000000006,1.584914081354817,533442,0.6303203301548107
54,188,1648,1,0,69,0.3856,0.2647,1.0,0.7353,-0.1469,1,0,0,0,0,0,0,9,34,680,2.063111111111111,0.049499999999999995,1.5562234121501892,615840,0.7879159135716408
55,146,1646,1,0,69,0.3992,0.3333,1.0,0.6667,-0.1667,1,0,0,0,0,0,0,9,27,540,0.9964444444444445,0.049499999999999995,1.5846625052509702,591736,0.6378266583635155
56,51,1650,1,0,69,0.3462,0.4615,0.0,-0.5385,0.0573,1,0,0,0,0,0,0,13,6,98,0.507096932131408,0.10270000000000001,1.969918300072639,200158,0.36088903257330746
57,184,1650,1,0,100,0.4889,0.4,1.0,0.6,-0.2106,1,0,0,0,0,0,0,12,30,750,0.88625,0.0876,1.4207502760890165,632162,0.8454884893005736
58,67,1710,1,0,100,0.3021,0.6667,1.0,0.3333,-0.1353,1,0,0,0,0,0,0,8,12,120,0.8976249999999999,0.0376,1.8736407870370695,281808,0.37810071082408064
59,64,1360,1,0,100,0.2889,0.4,1.0,0.6,-0.1439,1,0,0,0,0,0,0,6,15,150,0.2426666666666667,0.0264,1.973467083602652,168312,0.3856154681359582
60,53,1360,1,0,100,0.2429,0.7,1.0,0.3,-0.2572,1,0,0,0,0,0,0,7,10,100,1.3571428571428572,0.0364,2.040347840080653,151170,0.35767297636613854
61,60,1362,1,0,120,0.2208,0.6364,1.0,0.3636,-0.1064,1,0,0,0,0,0,0,7,11,110,0.3545714285714286,0.0357,2.0203658238139646,219616,0.36811065309890434
62,76,1362,1,0,120,0.2323,0.8182,1.0,0.1818,-0.1712,1,0,0,0,0,0,0,9,11,154,1.4297713485767616,0.0594,1.8927148672149017,338646,0.38819581926577634
63,66,1632,1,0,100,0.2143,0.5833,1.0,0.4167,-0.2158,1,0,0,0,0,0,0,7,12,108,0.19220879403445615,0.030100000000000002,1.9949937771983055,205375,0.3774528226459194
64,70,1632,1,0,100,0.2929,0.8182,1.0,0.1818,-0.1243,1,0,0,0,0,0,0,9,11,99,0.5772,0.049499999999999995,1.8567887077298038,219688,0.38082736395538275
65,382,1632,1,0,100,0.2926,0.15,1.0,0.85,-0.2186,1,0,0,0,0,0,0,9,60,2580,0.5269947443860487,0.049499999999999995,1.5218687787108258,1566446,1.2629988994521144
66,110,1630,1,0,100,0.3125,0.4,1.0,0.6,-0.2098,1,0,0,0,0,0,0,8,20,260,1.5711732206694833,0.0392,1.7374591477087948,356032,0.48509859404029554
67,51,1654,1,0,100,0.3462,0.4615,1.0,0.5385,-0.1775,1,0,0,0,0,0,0,6,13,104,0.054799999999999995,0.0216,1.969918300072639,112749,0.36088903257330746
68,63,1656,1,0,100,0.4375,0.5714,1.0,0.4286,-0.3512,1,0,0,0,0,0,0,8,14,210,0.09956872304519032,0.0384,1.7383803552836714,109872,0.3815744879847659
69,56,1656,1,0,100,0.2222,0.8889,1.0,0.1111,-0.3479,1,0,0,0,0,0,0,8,9,108,0.0688465576721164,0.0384,2.0286884537269763,140220,0.3596864628457929
70,89,1658,1,0,100,0.3776,0.8461,1.0,0.1539,-0.315,1,0,0,0,0,0,0,11,13,182,0.046073564973908625,0.0726,1.680493395757505,179492,0.4318868027096788
71,190,1648,1,0,100,0.246,0.3214,1.0,0.6786,-0.2428,1,0,0,0,0,0,0,9,28,588,0.14162389174055062,0.049499999999999995,1.6501327043571352,644560,0.6881053377169254
72,81,1656,1,0,100,0.4938,0.4,1.0,0.6,-0.16,1,0,0,0,0,0,0,8,20,300,1.0915057191074442,0.0384,1.6243464207907492,174180,0.4535175206847772
73,63,1694,1,0,211,0.4167,0.3333,1.0,0.6667,-0.4276,1,0,0,0,0,0,0,6,18,306,2.0776423916123545,0.021,1.841892926658225,161560,0.39600697923151834
74,60,1694,1,0,211,0.375,0.6667,1.0,0.3333,-0.403,1,0,0,0,0,0,0,8,12,108,0.8274271571605355,0.0376,1.8243911524180567,137550,0.36816213455796387
75,30,1692,1,0,143,0.2857,0.8571,0.0,-0.1429,-0.213,1,0,0,0,0,0,0,7,6,48,0.6025142857142857,0.028700000000000003,2.2460008154392512,108792,0.33667552223434377
76,209,1692,1,0,143,0.2509,0.2903,1.0,0.7097,-0.1016,1,0,0,0,0,0,0,9,31,744,1.1821333333333335,0.0477,1.6303199685462995,1273802,0.7520666014904079
77,156,1352,1,0,80,0.2464,0.3913,1.0,0.6087,-0.0658,1,0,0,0,0,0,0,9,23,460,0.4108888888888889,0.0603,1.687863225187614,746160,0.5846758212049895
78,2643,1400,0,1,40,0.4121,0.0569,1.0,0.9431,-0.1132,1,0,0,0,0,0,0,16,281,47025,1.851696953221388,0.1824,1.160631655082209,22801824,1.160631655082209
79,2145,1380,0,1,40,0.4012,0.0904,1.0,0.9096,-0.166,1,0,0,0,0,0,0,18,199,26934,0.44671586006001485,0.23399999999999999,1.1544071868039745,26792415,1.1544071868039745
80,1421,1666,0,1,40,0.6708,0.1566,1.0,0.8434,-0.2246,1,0,0,0,0,0,0,26,166,26270,5.969726644585738,0.40559999999999996,1.003551712310507,11141686,1.003551712310507
81,103,1666,0,1,40,0.2427,0.4706,1.0,0.5294,-0.133,1,0,0,0,0,0,0,8,17,221,1.5762105947351317,0.0384,1.8112682427705962,331470,0.449556777855662
82,40,1364,0,1,60,0.2857,0.875,0.0,-0.125,-0.216,1,0,0,0,0,0,0,8,7,77,0.05843530867592466,0.0472,2.0991578984579635,88308,0.34048341112988173
83,10914,1362,0,1,60,0.4103,0.0519,1.0,0.9481,-0.2153,1,0,0,0,0,0,0,31,597,290524,1.4744681718790686,0.7068,0.9753323049913876,131553840,0.9753323049913876
84,135,1360,0,1,200,0.2969,0.75,1.0,0.25,-0.3683,1,0,0,0,0,0,0,12,16,288,0.1256937153142343,0.1056,1.639366061922742,458430,0.5313185406691606
85,114,1392,0,1,220,0.2083,0.5625,1.0,0.4375,-0.0972,1,0,0,0,0,0,0,9,16,238,1.0970133275055118,0.058499999999999996,1.790238248342261,605958,0.46241853954680595
86,82,1392,0,1,220,0.4143,0.35,1.0,0.65,-0.0786,1,0,0,0,0,0,0,7,20,260,1.4807799442896936,0.035,1.7406472046095411,212762,0.4407318722071358
87,275,1362,0,1,40,0.2839,0.375,1.0,0.625,-0.1765,1,0,0,0,0,0,0,12,32,608,0.34642178594046863,0.1056,1.5017500531858266,1420314,0.9506077836666282
88,289,1364,0,1,40,0.2702,0.3056,1.0,0.6944,-0.1313,1,0,0,0,0,0,0,11,36,900,0.42,0.0891,1.5183881562836226,1285360,0.9890780450031517
89,313,1364,0,1,40,0.465,0.3846,1.0,0.6154,-0.1263,1,0,0,0,0,0,0,15,39,1404,1.3724502039836812,0.16499999999999998,1.3335693839317186,2345335,1.157804939129518
90,437,1364,0,1,40,0.3535,0.25,1.0,0.75,-0.1976,1,0,0,0,0,0,0,13,52,1872,1.299363057324841,0.1235,1.3814095598668534,3096927,1.2758698694930257
91,759,1362,0,1,40,0.3529,0.2464,1.0,0.7536,-0.3003,1,0,0,0,0,0,0,17,69,3105,0.1320804658549497,0.21250000000000002,1.2728661091531963,5438240,1.2690475108257366
92,677,1360,0,1,40,0.2227,0.194,1.0,0.806,-0.2199,1,0,0,0,0,0,0,13,67,2948,0.7912013536379019,0.1248,1.3915779173584715,3515044,1.3608240453848492
93,211,1364,0,1,100,0.2622,0.5909,1.0,0.4091,-0.3402,1,0,0,0,0,0,0,13,22,396,0.17460537247299918,0.1235,1.5544034243394418,1069200,0.735077379370122
94,52,1366,0,1,100,0.1746,0.7778,0.0,-0.2222,-0.2414,1,0,0,0,0,0,0,9,7,63,0.0205,0.0594,2.127988276520717,111078,0.35899162224904496
95,261,1358,0,1,40,0.3077,0.4483,1.0,0.5517,-0.1541,1,0,0,0,0,0,0,13,29,812,1.7667456385957356,0.1248,1.4835156159816392,989135,0.9228950647021777
96,135,1690,0,1,70,0.351,0.3077,1.0,0.6923,-0.1097,1,0,0,0,0,0,0,8,26,468,1.6617911791179119,0.0376,1.667048155647504,353855,0.5799660533497667
97,181,1690,0,1,70,0.3987,0.1628,1.0,0.8372,-0.1253,1,0,0,0,0,0,0,7,43,1247,3.823943661971831,0.028700000000000003,1.63545529740429,526864,0.814293192577596
98,109,1694,0,1,70,0.2829,0.4211,1.0,0.5789,-0.1247,1,0,0,0,0,0,0,8,19,285,1.5829739358709918,0.0376,1.7642958732319383,329724,0.47388987155009865
99,102,1692,0,1,70,0.2031,0.5,1.0,0.5,-0.128,1,0,0,0,0,0,0,8,16,176,0.6078647050735598,0.0376,1.847118084265424,364320,0.4403529512888771
100,51,1692,0,1,70,0.3929,0.5833,1.0,0.4167,-0.081,1,0,0,0,0,0,0,7,12,96,0.8889142857142858,0.028700000000000003,1.8723008375618724,143976,0.35423931846670625
101,134,1690,0,1,70,0.3619,0.4762,1.0,0.5238,-0.2213,1,0,0,0,0,0,0,10,21,273,0.19383775351014043,0.059,1.6087569136613873,293832,0.5645128010037808
102,266,1626,0,1,120,0.3214,0.5,1.0,0.5,-0.279,1,0,0,0,0,0,0,14,28,644,0.3617545588960079,0.12040000000000001,1.4619836148347647,1890119,0.9434180266528737
103,970,1362,0,1,175,0.2152,0.1165,1.0,0.8835,-0.2146,1,0,0,0,0,0,0,12,103,5871,2.580997624703088,0.1056,1.3750021659920955,6533438,1.3722521616601113
104,515,1632,0,1,125,0.305,0.2281,1.0,0.7719,-0.3686,1,0,0,0,0,0,0,13,57,1824,0.12060054147181885,0.10400000000000001,1.386473111652688,2580564,1.3159016302695663
105,116,1634,0,1,125,0.2267,0.6667,1.0,0.3333,-0.215,1,0,0,0,0,0,0,10,15,255,0.4682080924855491,0.061000000000000006,1.7553764515122425,652736,0.46693013610225653
106,2490,1634,0,1,125,0.3981,0.1066,1.0,0.8934,-0.112,1,0,0,0,0,0,0,21,197,28762,1.2600834492350486,0.26880000000000004,1.119458245759947,34530636,1.119458245759947
107,251,1632,0,1,125,0.3104,0.4643,1.0,0.5357,-0.1269,1,0,0,0,0,0,0,13,28,616,0.5371467253342359,0.10400000000000001,1.4886134008778509,1430550,0.8954009606280273
108,165,1626,0,1,125,0.4271,0.5,1.0,0.5,-0.1126,1,0,0,0,0,0,0,12,24,572,1.1214424443202635,0.0888,1.4887417821789304,880874,0.7090877108518245
109,112,1358,0,1,40,0.268,0.5294,1.0,0.4706,-0.2021,1,0,0,0,0,0,0,9,17,272,0.06275555555555555,0.0594,1.7452713001751659,491877,0.4710487239172772
110,208,1350,0,1,50,0.4091,0.3438,1.0,0.6563,-0.1557,1,0,0,0,0,0,0,11,32,768,0.25529129391228456,0.0902,1.4789345704570078,944076,0.86103570692007
111,337,1354,0,1,50,0.2593,0.3714,1.0,0.6286,-0.2262,1,0,0,0,0,0,0,13,35,910,0.2836,0.1248,1.469557106500198,1902603,1.0796836061456956
112,167,1698,0,1,90,0.3373,0.3214,1.0,0.6786,-0.5528,1,0,0,0,0,0,0,9,28,672,0.0063999999999999994,0.0477,1.6095800070104027,678689,0.6711948629233379
113,200,1696,0,1,90,0.3056,0.2813,1.0,0.7188,-0.1527,1,0,0,0,0,0,0,9,32,768,0.5661333333333333,0.0477,1.602180893366875,759185,0.7631187595106426
114,359,1696,0,1,90,0.2877,0.0714,1.0,0.9286,-0.5816,1,0,0,0,0,0,0,6,84,2436,0.011599806669888834,0.021,1.7062536979347713,1211238,1.353571058571654
115,349,1698,0,1,90,0.2878,0.1,1.0,0.9,-0.4471,1,0,0,0,0,0,0,7,70,2310,0.033474776049033476,0.028700000000000003,1.6307369572099129,1234850,1.2680610579264282
116,140,1698,0,1,90,0.3333,0.2333,1.0,0.7667,-0.4836,1,0,0,0,0,0,0,7,30,360,0.008057603291616663,0.028700000000000003,1.719220601942544,582939,0.6032745092216387
117,379,1700,0,1,90,0.2982,0.2667,1.0,0.7333,-0.223,1,0,0,0,0,0,0,12,45,1575,0.4012831729367163,0.0852,1.445294671852195,1658580,1.1994500481701367
118,121,1698,0,1,90,0.3278,0.45,1.0,0.55,-0.1384,1,0,0,0,0,0,0,9,20,260,1.2878809764552939,0.0477,1.6777626051300165,600525,0.5147375672538891
119,762,1698,0,1,90,0.4024,0.1765,1.0,0.8235,-0.1956,1,0,0,0,0,0,0,15,85,5418,0.575767521476766,0.132,1.2700247703967174,2824380,1.2681197332411223
120,861,1696,0,1,90,0.3724,0.1429,1.0,0.8571,-0.182,1,0,0,0,0,0,0,14,98,7644,0.7292479108635097,0.11480000000000001,1.2860875058671444,3155390,1.2850586358624507
121,335,1696,0,1,90,0.4303,0.3333,1.0,0.6667,-0.2359,1,0,0,0,0,0,0,14,42,1554,0.3335095137420719,0.11480000000000001,1.3571874899907423,1245108,1.1814317100369414
122,242,1698,0,1,90,0.3333,0.3333,1.0,0.6667,-0.2035,1,0,0,0,0,0,0,11,33,792,0.27754745799694525,0.0715,1.5074300593998773,715488,0.9043072926339863
123,264,1696,0,1,90,0.2667,0.4,1.0,0.6,-0.2445,1,0,0,0,0,0,0,12,30,780,0.7384615384615384,0.0852,1.5191137710072247,1582922,0.9040246051263994
124,134,1694,0,1,90,0.3796,0.2963,1.0,0.7037,-0.1485,1,0,0,0,0,0,0,8,27,540,0.01475,0.0376,1.6454728332056188,452755,0.5925347672373433
125,372,1696,0,1,90,0.5507,0.1739,1.0,0.8261,-0.2034,1,0,0,0,0,0,0,12,69,3920,0.5917565659296583,0.0852,1.2952611511529302,1820640,1.2574395255392645
126,794,1696,0,1,90,0.4296,0.1839,1.0,0.8161,-0.1694,1,0,0,0,0,0,0,16,87,5133,0.3694690265486726,0.1504,1.2416966780117755,5486650,1.2408274903371672
127,227,1698,0,1,90,0.4089,0.375,1.0,0.625,-0.1841,1,0,0,0,0,0,0,12,32,896,0.027531497900139992,0.0852,1.4504665786519935,1185300,0.9181453442867119
128,927,1698,0,1,90,0.3941,0.1471,1.0,0.8529,-0.2456,1,0,0,0,0,0,0,15,102,6695,0.46377067257773014,0.132,1.2560134538509093,5280972,1.2556366498147542
129,227,1698,0,1,90,0.1864,0.2903,1.0,0.7097,-0.2475,1,0,0,0,0,0,0,9,31,682,0.0259105353214373,0.0477,1.6555466772531708,1136928,0.7637036822168877
130,271,1700,0,1,90,0.3157,0.2045,1.0,0.7954,-0.1851,1,0,0,0,0,0,0,9,44,1575,0.8703525540432053,0.0477,1.551431879801715,1187256,1.0106027265028372
131,771,1698,0,1,90,0.5187,0.2023,1.0,0.7977,-0.2261,1,0,0,0,0,0,0,18,89,4450,0.6872222222222223,0.1908,1.1797720847061481,4888320,1.179536130289207
132,471,1698,0,1,90,0.3291,0.2407,1.0,0.7593,-0.2722,1,0,0,0,0,0,0,13,54,1998,0.14086511098463292,0.10010000000000001,1.3851740750799382,2764440,1.294999242792234
133,285,1698,0,1,90,0.4063,0.4688,1.0,0.5313,-0.1805,1,0,0,0,0,0,0,15,32,768,0.24128,0.132,1.386775829297228,1345275,1.062131607658747
134,120,1688,1,0,70,0.3478,0.3478,1.0,0.6522,-0.2033,1,0,0,0,0,0,0,8,23,391,1.9058648533786655,0.0376,1.6907470315139166,489520,0.5283584473480989
135,4686,1688,1,0,70,0.3889,0.0422,1.0,0.9578,-0.2424,1,0,0,0,0,0,0,18,426,107177,2.152789630934972,0.1926,1.1121321713279055,46805363,1.1121321713279055
136,70,1356,0,1,40,0.2222,0.2778,1.0,0.7222,-0.1015,1,0,0,0,0,0,0,5,18,270,0.44254425442544254,0.018500000000000003,2.102784220331579,169071,0.4108840366527905
137,180,1362,0,1,40,0.2308,0.3462,1.0,0.6539,-0.1702,1,0,0,0,0,0,0,9,26,468,0.2438,0.0594,1.6703525567436974,898546,0.6484308625279033
138,170,1698,0,1,60,0.3281,0.4783,1.0,0.5217,-0.1704,1,0,0,0,0,0,0,11,23,414,0.722794959908362,0.0715,1.5728359940922183,866496,0.6585464307264118
139,83,1696,0,1,60,0.3083,0.3,1.0,0.7,-0.0666,1,0,0,0,0,0,0,6,20,280,1.5242650489967335,0.021,1.8955212322873318,238008,0.43369525794734154
140,2705,1364,1,0,80,0.4573,0.0393,1.0,0.9607,-0.4283,1,0,0,0,0,0,0,14,356,76467,10.150715016795573,0.1442,1.173692564463368,19399786,1.173692564463368
141,177,1360,1,0,100,0.292,0.1,1.0,0.9,-0.2325,1,0,0,0,0,0,0,5,50,750,0.10591059105910591,0.018500000000000003,1.8928900422868946,1060668,0.7832778994983169
142,221,1358,0,1,40,0.3519,0.3548,1.0,0.6452,-0.2043,1,0,0,0,0,0,0,11,31,806,0.598676435830773,0.0891,1.5094534382676035,1327972,0.8516336298705819
143,109,1358,0,1,40,0.2431,0.4444,1.0,0.5556,-0.1705,1,0,0,0,0,0,0,8,18,288,0.0884,0.0472,1.7971840171152182,428201,0.46421263162086085
144,104,1362,0,1,40,0.2571,0.7143,1.0,0.2857,-0.1175,1,0,0,0,0,0,0,10,14,196,0.7996640067198656,0.073,1.7598798011693562,599148,0.44560156565608094
145,3319,1360,0,1,40,0.4189,0.0448,1.0,0.9552,-0.1436,1,0,0,0,0,0,0,16,357,78897,9.140883977900552,0.1888,1.1455223024879855,34926816,1.1455223024879855
